epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,8665,0.18312,0.1521,0.77397,0.93687,0.88154,0.93157,0.78679,0.64915,0.42012,1.03777,0.00060895,0.00060895,0.00060895
81,8772.2,0.1821,0.15197,0.77288,0.95385,0.87849,0.93944,0.78763,0.65172,0.40767,1.04345,0.000604,0.000604,0.000604
82,8879.6,0.17538,0.14685,0.77221,0.93675,0.87527,0.9313,0.78262,0.66114,0.41164,1.04903,0.00059905,0.00059905,0.00059905
83,8986.75,0.17696,0.14929,0.77228,0.96081,0.87863,0.93804,0.78805,0.65556,0.40793,1.04462,0.0005941,0.0005941,0.0005941
84,9093.93,0.17067,0.14344,0.77102,0.94417,0.88521,0.9397,0.78877,0.65493,0.41163,1.04789,0.00058915,0.00058915,0.00058915
85,9205.24,0.17112,0.14552,0.77106,0.9627,0.87933,0.94167,0.78923,0.66992,0.40361,1.06878,0.0005842,0.0005842,0.0005842
86,9313.43,0.16945,0.14585,0.77052,0.95969,0.87012,0.93689,0.77889,0.66781,0.40823,1.06573,0.00057925,0.00057925,0.00057925
87,9422.4,0.16578,0.14254,0.76983,0.94081,0.88989,0.94241,0.79597,0.64922,0.40323,1.04669,0.0005743,0.0005743,0.0005743
88,9529.83,0.16415,0.14016,0.76972,0.93723,0.89455,0.94156,0.78547,0.65813,0.40293,1.05779,0.00056935,0.00056935,0.00056935
89,9636.41,0.16496,0.14028,0.76999,0.93757,0.89451,0.93864,0.78121,0.66933,0.41298,1.07442,0.0005644,0.0005644,0.0005644
90,9743.29,0.16576,0.13865,0.77032,0.95333,0.89109,0.93982,0.78454,0.65852,0.40718,1.06661,0.00055945,0.00055945,0.00055945
91,9853.81,0.16032,0.13756,0.76966,0.96003,0.87556,0.94258,0.78757,0.65016,0.41209,1.05135,0.0005545,0.0005545,0.0005545
92,9961.54,0.16068,0.13838,0.76912,0.96253,0.88108,0.93982,0.784,0.64929,0.41086,1.0517,0.00054955,0.00054955,0.00054955
93,10070.1,0.15821,0.13513,0.76841,0.95129,0.89001,0.94456,0.78762,0.65256,0.41169,1.04917,0.0005446,0.0005446,0.0005446
94,10176.4,0.15492,0.13359,0.7684,0.95306,0.88719,0.94251,0.79087,0.64648,0.41261,1.04119,0.00053965,0.00053965,0.00053965
95,10282.4,0.1587,0.13684,0.76889,0.93463,0.88269,0.93692,0.78108,0.65315,0.42392,1.05125,0.0005347,0.0005347,0.0005347
96,10391.6,0.16005,0.13793,0.76975,0.94482,0.87515,0.93664,0.78143,0.64767,0.39752,1.05083,0.00052975,0.00052975,0.00052975
97,10499.3,0.15627,0.13463,0.76988,0.95151,0.8796,0.94196,0.78998,0.64734,0.40254,1.04844,0.0005248,0.0005248,0.0005248
98,10606.3,0.15072,0.13334,0.76853,0.94249,0.88482,0.93921,0.78672,0.64345,0.41146,1.046,0.00051985,0.00051985,0.00051985
99,10711.9,0.14984,0.13146,0.76799,0.96155,0.86907,0.93866,0.78615,0.64126,0.40635,1.04536,0.0005149,0.0005149,0.0005149
100,10819.8,0.14662,0.1297,0.76763,0.95373,0.87994,0.93886,0.79279,0.64073,0.40305,1.03754,0.00050995,0.00050995,0.00050995
101,10926.2,0.14447,0.12707,0.76715,0.94747,0.89056,0.94017,0.79126,0.64491,0.3991,1.05171,0.000505,0.000505,0.000505
102,11034.4,0.14567,0.12805,0.7676,0.93547,0.89498,0.93888,0.78968,0.64811,0.41113,1.05065,0.00050005,0.00050005,0.00050005
103,11141,0.14296,0.12486,0.76718,0.94006,0.89234,0.94198,0.79065,0.64132,0.39362,1.04349,0.0004951,0.0004951,0.0004951
104,11250.4,0.14291,0.1261,0.7667,0.94318,0.87951,0.94076,0.78433,0.65418,0.4148,1.05367,0.00049015,0.00049015,0.00049015
105,11356.2,0.14124,0.12513,0.76632,0.94878,0.88008,0.93741,0.78611,0.64745,0.41493,1.04458,0.0004852,0.0004852,0.0004852
106,11460.9,0.13921,0.12326,0.76617,0.93904,0.8811,0.93327,0.79247,0.63732,0.4176,1.03434,0.00048025,0.00048025,0.00048025
107,11563.2,0.13841,0.12294,0.76613,0.95121,0.86695,0.93218,0.78657,0.64175,0.40954,1.0397,0.0004753,0.0004753,0.0004753
108,11669.6,0.13939,0.12297,0.76585,0.95467,0.87772,0.93794,0.791,0.64426,0.39623,1.05097,0.00047035,0.00047035,0.00047035
109,11771.4,0.13788,0.12102,0.7673,0.95323,0.87928,0.93612,0.78499,0.65399,0.40967,1.06284,0.0004654,0.0004654,0.0004654
110,11878.8,0.1359,0.12143,0.76645,0.96201,0.87881,0.94198,0.79005,0.65483,0.41204,1.06185,0.00046045,0.00046045,0.00046045
111,11982.3,0.13713,0.12105,0.76584,0.94022,0.8773,0.93284,0.78647,0.64426,0.40868,1.04784,0.0004555,0.0004555,0.0004555
112,12083.4,0.13308,0.1192,0.76497,0.93968,0.88266,0.9331,0.7837,0.64748,0.40683,1.06078,0.00045055,0.00045055,0.00045055
113,12183.9,0.12987,0.11516,0.76522,0.95534,0.87848,0.93793,0.79144,0.65049,0.39551,1.06071,0.0004456,0.0004456,0.0004456
114,12283.9,0.13148,0.11699,0.76553,0.94824,0.87793,0.93973,0.79231,0.64993,0.40402,1.06056,0.00044065,0.00044065,0.00044065
115,12383.2,0.13257,0.11762,0.76609,0.94108,0.86967,0.93242,0.78714,0.64752,0.41406,1.05722,0.0004357,0.0004357,0.0004357
116,12485.2,0.13079,0.11842,0.76518,0.95336,0.86056,0.93141,0.79198,0.64545,0.40631,1.05301,0.00043075,0.00043075,0.00043075
117,12587.9,0.1281,0.11535,0.76489,0.94073,0.87343,0.9354,0.79723,0.64424,0.40986,1.04806,0.0004258,0.0004258,0.0004258
118,12696.7,0.12697,0.11422,0.76498,0.95813,0.86742,0.9387,0.79887,0.63747,0.4057,1.04236,0.00042085,0.00042085,0.00042085
119,12801.1,0.12714,0.11296,0.7644,0.94349,0.87016,0.93429,0.79356,0.64025,0.40375,1.04818,0.0004159,0.0004159,0.0004159
120,12906.2,0.12506,0.11248,0.76456,0.95221,0.8734,0.93368,0.79448,0.63588,0.39997,1.05125,0.00041095,0.00041095,0.00041095
121,13010.9,0.12202,0.10932,0.76369,0.93033,0.89712,0.93789,0.80137,0.63374,0.38222,1.05179,0.000406,0.000406,0.000406
122,13129.2,0.12233,0.10982,0.76379,0.95367,0.87767,0.93591,0.80027,0.63755,0.38957,1.05398,0.00040105,0.00040105,0.00040105
123,13226.6,0.11958,0.1085,0.76396,0.93008,0.88067,0.9316,0.79011,0.64135,0.39845,1.05411,0.0003961,0.0003961,0.0003961
124,13329.9,0.12108,0.11002,0.7645,0.94998,0.87245,0.93493,0.78883,0.64563,0.40021,1.06565,0.00039115,0.00039115,0.00039115
125,13437.9,0.12054,0.10932,0.76442,0.95434,0.86213,0.93422,0.79093,0.63985,0.39623,1.05794,0.0003862,0.0003862,0.0003862
126,13537.3,0.11899,0.10661,0.76312,0.94207,0.88388,0.93327,0.78969,0.63763,0.3953,1.05226,0.00038125,0.00038125,0.00038125
127,13643.4,0.11878,0.10561,0.76351,0.93813,0.88781,0.93804,0.79391,0.64194,0.397,1.05997,0.0003763,0.0003763,0.0003763
128,13745.6,0.11515,0.10484,0.76288,0.96101,0.86967,0.9385,0.79646,0.63352,0.3973,1.05314,0.00037135,0.00037135,0.00037135
129,13847.5,0.11279,0.10375,0.76282,0.93292,0.88126,0.93392,0.78985,0.63522,0.40142,1.05489,0.0003664,0.0003664,0.0003664
130,13948.6,0.11376,0.10441,0.7641,0.94047,0.87887,0.94059,0.79128,0.64054,0.39145,1.06565,0.00036145,0.00036145,0.00036145
131,14053.3,0.11228,0.10311,0.76294,0.95482,0.86988,0.93634,0.79349,0.63483,0.39995,1.05748,0.0003565,0.0003565,0.0003565
132,14153.2,0.11007,0.10221,0.76276,0.94778,0.87243,0.9354,0.79359,0.63388,0.39951,1.05905,0.00035155,0.00035155,0.00035155
133,14252.5,0.10912,0.09966,0.76303,0.94344,0.87527,0.93572,0.79308,0.63645,0.39875,1.0644,0.0003466,0.0003466,0.0003466
134,14355.3,0.10734,0.09843,0.76196,0.95856,0.85954,0.9346,0.79304,0.63795,0.40529,1.06301,0.00034165,0.00034165,0.00034165
135,14460.7,0.10667,0.09778,0.76231,0.9492,0.86571,0.93119,0.79094,0.63182,0.39919,1.05789,0.0003367,0.0003367,0.0003367
136,14563.7,0.10414,0.09523,0.76214,0.927,0.87915,0.9322,0.79279,0.63244,0.40003,1.05768,0.00033175,0.00033175,0.00033175
